#{"t_start": 1727463122.545225, "env_id": "None"}
r,l,t
5.0817,278,248.75017
7.0991,411,623.684853
10.865,513,1078.304766
5.9067,411,1445.942578
8.6923,340,1758.282936
9.1053,939,2721.600071
9.6515,564,3219.854929
10.8859,458,3638.108806
6.0937,408,4084.500509
8.0853,347,4393.017516
7.0833,342,4699.177182
16.2832,796,5417.427317
6.8855,338,5801.714369
13.7548,1908,7522.57968
9.048,915,8421.011247
16.8171,1078,9396.21863
18.5798,1110,10449.954491
9.6682,540,10948.613
9.666,591,11491.348767
8.6563,554,12053.679852
7.6813,390,12409.822106
7.4905,284,12675.301531
6.2868,347,12994.04136
6.7007,267,13233.812725
6.8818,288,13576.470858
9.6334,705,14206.056849
14.6121,956,15064.427117
5.3005,282,15326.435934
7.5041,300,15662.426145
8.677,487,16114.363526
10.0529,703,16752.207862
6.7118,309,17030.267054
9.0897,350,17428.526544
10.4343,682,18027.974773
11.6659,615,18580.086092
8.2733,354,18909.179929
11.0478,543,19560.747719
13.2297,716,20204.370205
7.8534,405,20572.878501
