#{"t_start": 1705588754.1919801, "env_id": "None"}
r,l,t
650.0,563,712.092505
560.0,466,1289.052959
1440.0,1294,2879.911364
1350.0,704,3779.304765
450.0,321,4173.83635
559.5,640,4967.897084
770.0,385,5786.635141
610.0,1516,7645.068294
2520.0,275,8002.651817
733.5,909,9141.504733
900.0,1120,10896.788794
1060.0,830,11918.227585
1692.5,1801,14128.922404
480.0,802,15147.015925
450.0,646,15978.521258
-20.0,1000,17565.108283
550.0,331,17982.487815
830.0,518,18606.274167
760.0,643,19398.171812
940.0,924,20525.186435
1880.0,496,21147.263288
1160.0,599,22291.43174
