#{"t_start": 1714516915.797002, "env_id": "None"}
r,l,t
42.4942,5986,7245.455443
11.1996,2886,10841.067848
20.6524,1369,12554.504859
10.687,3346,16504.893681
20.0383,1541,18424.454454
7.7995,2540,21467.312173
15.0912,1967,23884.801786
6.0699,2252,26587.378487
5.4505,2838,30113.31147
22.5565,4150,35127.903616
30.7631,2171,37750.290739
7.6717,1927,40102.530802
36.3044,2813,43459.551194
15.1166,4550,49042.38276
20.3057,2867,52592.655657
14.9395,1602,54401.557112
12.6547,2319,57330.358734
16.1107,2814,60653.458994
11.7419,1033,61836.190691
23.253,3850,66439.983516
12.2621,688,67381.273771
16.5039,1836,69634.203839
9.0743,827,70576.050216
11.1876,604,71271.218704
10.2675,358,71686.678303
13.1643,2582,74953.537819
17.9944,627,75667.533573
31.3135,3131,79362.015312
49.2087,5758,86420.876778
24.6111,3002,90153.48268
20.4809,1806,92363.389975
8.784,756,93236.42199
12.6613,1232,94809.716556
8.6715,582,95473.373652
5.8534,478,96029.07133
6.2511,2191,98682.41583
18.5456,3035,102476.498776
-0.586,1000,103608.989799
14.3838,778,104651.544997
14.3837,819,105597.551926
20.2227,1155,107090.27995
-0.5549,1000,108233.620405
-0.5862,1000,109386.728016
7.4762,246,109825.097064
16.9272,1849,112082.285108
6.9812,1552,113832.088126
32.8669,2544,117040.703762
17.9938,808,117977.039967
22.535,3374,122146.126651
35.9389,2097,124706.994647
21.6815,1350,126241.98347
9.868,563,127057.339767
8.6213,1500,128785.761083
16.0437,1655,130836.70933
25.2095,4499,136261.45683
-0.5997,1000,137532.189052
2.9383,341,137992.97932
11.9894,692,138779.776561
7.7076,2295,141611.006259
24.4138,1522,143475.404477
