#{"t_start": 1712279695.2320561, "env_id": "None"}
r,l,t
10172.0,573,445.127888
450.0,1810,1851.351214
-50.0,1000,2637.693555
-50.0,740,3352.053521
-50.0,994,4137.187401
9950.0,1105,5004.67588
130.0,886,5700.806561
-50.0,1347,6906.384261
490.0,1055,7727.382456
-50.0,1000,8512.448767
-50.0,1000,9297.877829
-30.0,466,9660.249006
-30.0,537,10233.574844
-50.0,1000,11014.942687
-50.0,1000,11803.991026
520.0,1206,12762.764217
-50.0,1000,13677.949537
350.0,609,14173.406671
-40.0,663,14697.639747
-50.0,1000,15480.185516
-50.0,1000,16272.675773
-40.0,1000,17188.652125
105.0,901,17893.818453
-50.0,1721,19245.35491
-30.0,1280,20384.701512
450.0,1243,21368.754883
-30.0,1000,22152.79697
1153.5,3140,24736.605382
150.0,339,25005.164359
-50.0,1000,25792.734979
290.0,2142,27585.692365
470.0,2305,29397.739554
-50.0,997,30307.869866
-50.0,511,30712.806836
-20.0,977,31477.73709
-40.0,1606,32740.182056
-40.0,1000,33651.990715
20030.0,1596,34916.129709
370.0,1666,36216.235774
-20.0,838,37011.426152
-10.0,1020,37811.154912
370.0,1466,38952.722574
450.0,2187,40796.709936
40.0,1302,41821.548336
-45.0,1963,43343.959978
-50.0,1154,44356.039319
590.0,1193,45286.273949
